ptype,mass,pos_0,pos_1,pos_2,vel_0,vel_1,vel_2,imgpos_0,imgpos_1,imgpos_2,beta_0,beta_1,beta_2
0,1.0,6.895760874906097,8.197618674318644,0.5979387951501459,0.04701129681194575,0.00437345039656136,0.06592514258515354,-1,-1,0,0.005599333881679747,0.006656010681583787,-0.0026231434279567877
0,1.0,8.306143860547328,8.095725307149763,1.8388591545061796,0.02166105215301507,0.0862976457521516,-0.02352260774179261,-1,-1,0,0.010735714642887367,0.0018575619937026516,-0.0007024238097966452
0,1.0,6.228392072162892,0.22227070501206367,1.2229451560788414,0.07061232292409109,-0.033522792247831466,0.007905181200513818,-1,0,0,0.003196043327920506,0.015014508248425167,-0.00020485682503802702
0,1.0,6.26996113486045,8.005696770268099,1.9171010339270587,8.538250811748765e-05,0.019098308676964694,-0.02907810211882749,-1,-1,0,0.0038316089104910257,0.00010138867769752471,0.0004992508984111617
0,1.0,7.465464624001954,4.390374348481181,4.78871917018177,0.09655648222877393,-0.004699902082371806,-0.00022135451466812062,-1,-1,0,0.0021821092512219085,-0.0030220427721591283,0.0037080921967239592
0,1.0,2.2452503606123195,7.924707913923674,2.236212478346585,-0.0019126561611199407,-0.05168634479141796,0.028438724583239608,0,-1,0,0.00479336068140073,-0.006124220849451823,-0.0002920863728238318
0,1.0,1.4242696196133293,1.6116038525769971,7.247124978239604,-0.025806433408005546,0.025371319694034083,0.07930630736939064,0,0,-1,0.0026574017110094425,-0.002471165618118861,0.004263642354867687
0,1.0,6.050619060309875,0.7964315948501988,5.123737084833422,0.07193669269276128,0.007331484949432917,0.12475106797391734,-1,0,0,-0.0009432649910618622,-0.006046804802044287,0.013669282090673007
0,1.0,5.967712139973022,8.266078100930189,7.013086463768578,-0.018618191714689737,-0.01319451620591099,-0.007162195644684808,-1,-1,0,-0.005614718091998137,0.004932991337801276,-0.009697105179786865
0,1.0,0.38139016754940464,1.0568756245924618,2.647666908635884,0.02719142716696489,-0.03970822819494843,0.044220627786106415,0,0,0,0.003943946709871645,-8.967210468171759e-05,0.006086461494207053
0,1.0,7.477995445283724,5.331861601365278,8.418110511126844,-0.023074552137060937,0.1208272434273813,-0.02607359055543907,-1,-1,0,-0.002125487032723623,0.0022697724368525413,0.0017109980357023688
0,1.0,8.478360156134976,0.6256901416017883,4.098605824069389,0.026559645304555218,-0.06135588802791385,0.08709835206140709,-1,0,0,-0.0006410455708102417,0.0023862944896864123,0.003044359954458462
0,1.0,7.148559089240649,8.367189641527691,4.608122846440786,0.04032921047946453,0.022519125132215108,0.019577017607852496,-1,-1,0,-0.0011647711274819612,-0.0034942457373226435,0.0004665576770148998
0,1.0,4.7014797795681345,5.74116350278896,2.9903244758911667,0.004894352568705243,-0.03494631350575642,-0.0236188141831208,0,-1,0,0.0014735099899937647,-0.007779869738739046,-0.00803859586535739
0,1.0,0.879564564015753,3.704983397135872,2.9393255713794963,0.019092558591354315,-0.09732585703035117,-0.05453211629458604,0,0,0,0.002896566465121217,-0.007665793479669941,-0.006505444758052801
0,1.0,2.1093077802452527,0.39238534129397273,5.804286035732933,-0.022847308256061183,-0.030320895265031147,0.03880001949312375,0,0,0,-0.0018042911207733318,-0.015891430236323986,-4.087556221375348e-05
0,1.0,5.831938830671756,8.329395563589602,4.544287382392635,-0.1062834417960996,-0.01178276514631646,0.03511488291098355,-1,-1,0,-0.008455213518587608,0.0009556077891087901,-0.0003017707523363749
0,1.0,3.0952430837109506,7.921006081091016,6.674034943890067,-0.041376070133905124,-0.018674994586593156,-0.054000123412632016,0,-1,0,-0.0030841240533855604,-0.0037859060451851906,-0.008037991767572536
0,1.0,5.428367215120576,7.564598547155738,1.5599793142316913,-0.06893752449632734,-0.004589109515862772,-0.016548208216282452,-1,-1,0,0.0023094882461469927,-0.006828695171660458,-0.0006633359950170145
0,1.0,8.004492098986889,6.945643034140747,1.0640898296766303,-0.0045218566426624175,0.0364119763679981,-0.07461612083810465,-1,-1,1,-0.0016362721679751937,-0.011546192297143168,-0.0036876887114409276
0,1.0,0.2985403137556303,8.492848517556162,4.804384495759654,0.014457967084919416,0.00674084119830658,-0.051755675544455204,0,-1,-1,0.004966099404261485,0.0008341908649956148,-0.006410009051007421
0,1.0,7.979251972559284,2.0455383773137936,8.128772780990941,-0.06934156501649232,-0.01549192464241194,-0.008169114104582254,-1,0,-1,-0.007641494743983755,0.00666153203146943,-0.00042797501577795477
0,1.0,7.8764458731733535,2.2272992686300754,1.6733068180108541,0.06715611739071789,-0.008300582466433368,-0.01370896553229285,-1,0,0,0.013190639879459622,0.0035986044460234842,-0.001180631609466417
0,1.0,7.905428497245185,3.0631012918564933,1.0489728535041714,0.014144886517753204,0.01319280172858625,-0.022843895503929092,-1,0,0,0.0003228133695137783,0.005329785221748945,0.002872900554600305
0,1.0,1.974025392994883,2.6538896417992284,3.5445738197942793,-0.030206202927406358,-0.035289455289943185,0.062321346875739696,0,0,0,-0.001419489979328359,0.00020389595703208756,0.00553125915372573
0,1.0,8.110638083257276,3.6123010583848143,1.9444131217215928,0.009037039615769838,0.06946601600566055,0.015140067577092537,-1,0,0,0.004208051055731621,-0.008098191698468494,-0.0037589492419457192
0,1.0,1.9967990620867992,5.912172116156308,2.7221677747770885,0.008491795153149163,0.0058460827860327335,0.05918615096352713,0,-1,0,0.010065199461802272,0.0004447876723724321,-0.011459756216510313
0,1.0,0.26790458537687895,5.6257950713638705,6.198466603178164,-0.021656248486587985,-0.050736939816428975,-0.007447479192094981,0,0,0,0.0071502440225229055,0.0016610649937764841,0.003370274938639294
0,1.0,0.8735357263938719,0.6355048821567876,5.386186952965754,-0.11343942910539076,-0.03855737965434818,-0.06757591040971278,0,0,0,-0.008620309403057249,0.009910277782801949,0.0007751463384912464
0,1.0,4.180082512566235,6.277034329947627,4.535296007889109,-0.01677307079714489,-0.014343295467051636,-0.041360188715327026,0,0,0,0.004204180929394051,-0.011716524600982409,-0.0060580575461995035
0,1.0,1.6379528206272669,4.3648567770498135,2.0171649348062846,-0.07348706020985651,0.023369382983608765,-0.010437276606083843,0,0,0,0.004264115345496324,-0.005537602176689557,0.0002227393870502048
