r,g(r)
0.015,0.0
0.025,0.0
0.035,0.0
0.045,0.0
0.05500000000000001,0.0
0.065,0.0
0.075,0.0
0.08499999999999999,0.0
0.095,0.0
0.105,0.0
0.11499999999999999,0.0
0.125,0.0
0.135,0.0
0.14500000000000002,0.0
0.15500000000000003,0.0
0.165,0.0
0.17500000000000002,0.0
0.185,0.0
0.195,0.0
0.20500000000000002,0.0
0.21500000000000002,0.0
0.225,0.0
0.23500000000000001,0.0
0.245,0.0
0.255,0.0
0.265,0.0
0.275,0.0
0.28500000000000003,0.0
0.29500000000000004,0.0
0.305,0.0
0.315,0.0
0.325,0.0
0.335,0.0
0.34500000000000003,0.0
0.35500000000000004,0.0
0.365,0.0
0.375,0.0
0.385,0.0
0.395,0.0
0.405,0.0
0.41500000000000004,0.0
0.42500000000000004,0.0
0.435,0.0
0.445,0.0
0.455,0.0
0.465,0.0
0.47500000000000003,0.0
0.485,0.0
0.495,0.0
0.505,0.0002493809581723367
0.515,0.0
0.525,0.00023074241762503466
0.535,0.0
0.545,0.00021411793235552617
0.555,0.0006194144519883142
0.5650000000000001,0.0005976823136461758
0.5750000000000001,0.002308296548339666
0.585,0.003902596116636477
0.595,0.0034132312641765505
0.605,0.003996346461940318
0.615,0.0068941332095284686
0.625,0.007163721394553879
0.635,0.010409803471068046
0.645,0.013299823233308873
0.655,0.018233437677342174
0.665,0.02861909071789728
0.675,0.036990003615568944
0.685,0.0462188655560635
0.6950000000000001,0.061225083937525855
0.7050000000000001,0.07408774479900306
0.7150000000000001,0.10064274731486636
0.725,0.12256867116870789
0.735,0.1502180229028275
0.745,0.18803646629577822
0.755,0.22503913013707513
0.765,0.26624978119843773
0.775,0.33640299626480696
0.785,0.3841343115081378
0.795,0.45956061270365534
0.805,0.5181890210558425
0.8150000000000001,0.6178634329783333
0.8250000000000001,0.7217393987855572
0.8350000000000001,0.8212215638533967
0.845,0.9220551352361415
0.855,1.0112753405755435
0.865,1.1337166991301686
0.875,1.2279003902399583
0.885,1.3333958686527985
0.895,1.432149505744265
0.905,1.5468921036942973
0.915,1.5995593342420475
0.925,1.6735339663820312
0.935,1.7220976571525826
0.9450000000000001,1.7784970356018475
0.9550000000000001,1.8050426652084501
0.9650000000000001,1.7938468351704848
0.975,1.7902211911726982
0.985,1.8078726984986837
0.995,1.7243076541539393
1.005,1.7139024025476353
1.0150000000000001,1.643381245432956
1.025,1.602452145271943
1.0350000000000001,1.5537661771244173
1.045,1.497031962219114
1.0550000000000002,1.4573015470379447
1.065,1.445931270787245
1.0750000000000002,1.3850894529761988
1.085,1.3511397186060983
